iter	Passed	Remaining
0	512	511600
1	907	452715
2	1118	371563
3	1608	400397
4	2048	407569
5	2167	359001
6	2378	337432
7	2456	304647
8	2842	312999
9	3188	315669
10	3536	317996
11	3923	323008
12	4306	326957
13	4748	334427
14	5138	337443
15	5509	338810
16	5926	342698
17	6287	343024
18	6658	343785
19	7047	345314
20	7424	346138
21	7498	333364
22	7869	334289
23	7983	324678
24	8054	314120
25	8406	314932
26	8776	316279
27	9164	318132
28	9524	318893
29	9770	315926
30	10115	316201
31	10274	310812
32	10760	315306
33	11114	315777
34	11520	317635
35	11593	310447
36	11679	303986
37	12069	305559
38	12141	299168
39	12208	293003
40	12552	293611
41	12896	294152
42	13065	290791
43	13337	289778
44	13649	289680
45	14013	290631
46	14413	292262
47	14786	293264
48	15150	294037
49	15554	295530
50	15612	290515
51	15969	291128
52	16037	286554
53	16307	285689
54	16661	286266
55	16983	286300
56	17347	286990
57	17691	287334
58	18068	288173
59	18500	289845
60	18859	290311
61	19248	291215
62	19620	291821
63	20017	292761
64	20377	293120
65	20552	290845
66	20912	291210
67	21019	288087
68	21363	288252
69	21708	288407
70	22096	289121
71	22462	289517
72	22526	286050
73	22866	286142
74	23036	284122
75	23459	285222
76	23814	285465
77	23979	283454
78	24036	280217
79	24407	280682
80	24453	277439
81	24769	277296
82	25125	277596
83	25176	274541
84	25505	274563
85	25758	273755
86	26134	274258
87	26500	274644
88	26849	274835
89	27213	275155
90	27568	275382
91	27921	275571
92	28229	275313
93	28581	275476
94	28628	272727
95	28998	273069
96	29339	273130
97	29652	272922
98	29735	270621
99	29897	269076
100	30306	269756
101	30692	270213
102	30994	269925
103	31064	267636
104	31452	268098
105	31506	265724
106	31619	263889
107	31964	263999
108	32270	263790
109	32617	263901
110	32960	263978
111	33296	263992
112	33349	261780
113	33416	259711
114	33771	259897
115	34116	259994
116	34274	258672
117	34593	258573
118	34970	258895
119	35346	259207
120	35714	259445
121	36057	259494
122	36378	259383
123	36732	259496
124	36797	257585
125	36919	256090
126	37269	256191
127	37652	256509
128	37762	254971
129	38115	255080
130	38287	253980
131	38637	254074
132	38983	254124
133	39034	252268
134	39395	252420
135	39748	252520
136	40092	252553
137	40384	252255
138	40722	252242
139	41056	252206
140	41450	252524
141	41787	252493
142	42109	252360
143	42459	252395
144	42796	252352
145	43178	252563
146	43470	252245
147	43797	252131
148	44179	252324
149	44255	250782
150	44567	250580
151	44938	250708
152	45181	250119
153	45504	249979
154	45684	249054
155	46044	249110
156	46404	249167
157	46493	247771
158	46848	247794
159	47212	247867
160	47292	246450
161	47673	246608
162	48045	246713
163	48404	246745
164	48462	245250
165	48812	245237
166	49076	244796
167	49445	244873
168	49489	243346
169	49836	243321
170	50221	243471
171	50340	242336
172	50708	242405
173	51084	242503
174	51458	242591
175	51575	241467
176	51930	241460
177	52332	241668
178	52746	241926
179	53121	241997
180	53502	242091
181	53891	242215
182	54263	242257
183	54652	242370
184	54719	241061
185	55012	240753
186	55377	240759
187	55731	240710
188	56104	240746
189	56165	239441
190	56231	238173
191	56618	238269
192	56998	238329
193	57386	238420
194	57765	238467
195	57881	237432
196	57930	236130
197	58053	235145
198	58110	233900
199	58449	233796
200	58851	233941
201	59210	233909
202	59375	233114
203	59732	233073
204	60136	233210
205	60504	233206
206	60854	233126
207	61221	233112
208	61279	231924
209	61333	230729
210	61737	230858
211	62138	230967
212	62203	229832
213	62584	229868
214	63004	230039
215	63399	230115
216	63459	228980
217	63860	229078
218	63930	227987
219	64338	228108
220	64709	228094
221	65090	228111
222	65416	227932
223	65510	226947
224	65917	227049
225	66029	226135
226	66087	225045
227	66149	223978
